,movie,sentence
0,star wars,star wars episode iv new hope from journal of whills george lucas revised fourth draft january lucasfilm ltd
1,star wars,long time ago galaxy far far away vast sea stars serves backdrop main title war drums echo heavens
2,star wars,rollup slowly crawls infinity period civil war rebel spaceships striking hidden base first victory evil galactic empire during
3,star wars,battle rebel spies managed steal secret plans empire ultimate weapon death star armored space station enough power destroy
4,star wars,entire planet pursued empire sinister agents princess leia races home aboard starship custodian stolen plans save people restore
5,star wars,freedom galaxy awesome yellow planet tatooine emerges total eclipse two moons glowing darkness tiny silver spacecraft rebel blockade
6,star wars,runner firing lasers back ship races space pursed giant imperial stardestroyer hundreds deadly laserbolts streak imperial stardestroyer causing
7,star wars,main solar fin rebel craft disintegrate rebel blockade runner main passageway an explosion rocks ship two robots artoo
8,star wars,detoo r d see threepio c po struggle make way shaking bouncing passageway both robots old battered artoo
9,star wars,short claw armed tripod his face mass computer lights surrounding radar eye threepio hand tall slender robot human
10,star wars,proportions gleaming bronze like metallic surface art deco design another blast shakes struggle along way threepio did hear
11,star wars,shut main reactor destroyed sure this madness rebel troopers rush past robots take positions main passageway aim weapons
12,star wars,toward door threepio doomed little r unit makes series electronic sounds another robot could understand threepio there escape
13,star wars,princess time artoo continues making beeping sounds tension mounts loud metallic latches clank scream heavy equipment heard moving
14,star wars,around outside hull ship threepio what spacecraft in space imperial craft easily overtaken rebel blockade runner smaller rebel
15,star wars,ship drawn underside dock giant imperial starship rebel blockade runner nervous rebel troopers aim weapons suddenly tremendous blast
16,star wars,opens hole main passageway score fearsome armored spacesuited stormtroopers make way smoke filled corridor in minutes entire passageway
17,star wars,ablaze laserfire deadly bolts ricochet wild random patterns creating huge explosions stormtroopers scatter duck behind storage lockers laserbolts
18,star wars,hit several rebel soldiers scream stagger smoke holding shattered arms faces an explosion hits near robots threepio known
19,star wars,better trust logic half sized thermocapsulary dehousing assister artoo counters angry rebuttal battle rages around two hapless robots
20,star wars,tatooine desert wasteland day death white wasteland stretches horizon horizon tremendous heat two huge twin suns settle lone
21,star wars,figure luke skywalker farm boy heroic aspirations looks much younger eighteen years his shaggy hair baggy tunic give
22,star wars,air simple lovable lad prize winning smile light wind whips adjusts several valves large battered moisture vaporator sticks
23,star wars,desert floor much like oil pipe valves aided beatup tread robot six claw arms little robot appears barely
24,star wars,functioning moves jerky motions bright sparkle morning sky catches luke eye instinctively grabs pair electrobinoculars utility belt stands
25,star wars,transfixed moments studying heavens dashed toward dented crudely repaired landspeeder auto like transport travels feet ground magnetic field
26,star wars,motions tiny robot follow luke hurry come what waiting get gear robot scoots around tight circle stops short
27,star wars,smoke begins pour every joint luke throws arms disgust exasperated young farm boy jumps landspeeder leaving smoldering robot
28,star wars,hum madly rebel blockade runner main hallway awesome seven foot tall dark lord sith makes way blinding light
29,star wars,main passageway this darth vader right hand emperor his face obscured flowing black robes grotesque breath mask stands
30,star wars,next fascist white armored suits imperial stormtroopers everyone instinctively backs away imposing warrior deathly quiet sweeps rebel troops
31,star wars,several rebel troops break run frenzied panic rebel blockade runner woman hand puts card opening artoo dome artoo
32,star wars,makes beeping sounds rebel blockade runner threepio stands hallway somewhat bewildered artoo nowhere sight pitiful screams doomed rebel
33,star wars,soldiers heard distance threepio artoo artoo detoo familiar clanking sound attacks threepio attention spots little artoo end hallway
34,star wars,smoke filled alcove beautiful young girl sixteen years old stands front artoo surreal place dreamlike half hidden smoke
35,star wars,finishes adjusting something artoo computer face watches little robot joins companion threepio at last where stormtroopers heard battling
36,star wars,distance threepio heading direction what going sent spice mine kessel smashed knows artoo scoots past bronze friend races
37,star wars,subhallway threepio chases threepio wait minute going artoo responds electronic beeps rebel blockade runner corridor evil darth vader
38,star wars,stands amid broken twisted bodies foes grabs wounded rebel officer neck imperial officer rushes dark lord imperial officer
39,star wars,death star plans main computer vader squeezes neck rebel officer struggles vain vader where transmissions intercepted vader lifts
